Source,End_Hour,Start_Hour,Date,Production
Wind,22,21,12/18/2022,11400
Wind,15,14,1/29/2024,7917
Solar,16,15,8/1/2024,8835
Wind,2,1,11/10/2020,989
Wind,2,1,12/19/2022,12526
Solar,14,13,10/18/2024,4855
Solar,18,17,4/10/2020,3692
Wind,1,0,1/25/2023,2156
Wind,13,12,12/12/2021,5813
Wind,14,13,10/11/2020,6106
Wind,0,23,1/8/2024,5515
Wind,19,18,1/8/2020,2785
Wind,21,20,1/29/2022,8498
Solar,16,15,6/2/2021,5561
Wind,8,7,6/11/2024,2328
Wind,22,21,6/5/2020,6664
Solar,14,13,5/2/2021,4993
Wind,1,0,1/13/2022,3276
Wind,4,3,7/24/2020,1739
Wind,6,5,8/29/2024,2083
Wind,1,0,1/3/2024,17272
Wind,3,2,4/2/2024,12285
Solar,17,16,7/29/2020,3480
Wind,7,6,11/5/2024,1690
Wind,9,8,10/24/2022,11508
Wind,11,10,2/27/2023,15692
Solar,16,15,4/2/2020,4169
Wind,4,3,5/13/2020,3174
Wind,15,14,11/22/2023,7314
Solar,12,11,9/11/2021,4969
Solar,16,15,4/7/2025,9862
Wind,23,22,7/27/2025,3862
Wind,14,13,3/11/2021,16144
Solar,17,16,4/30/2022,8188
Wind,0,23,1/19/2023,1710
Wind,5,4,9/11/2022,472
Solar,17,16,9/25/2021,3402
Solar,13,12,8/8/2020,3996
Wind,2,1,6/8/2021,1148
Wind,22,21,6/10/2024,4062
Wind,1,0,6/18/2020,1443
Wind,18,17,5/30/2023,13363
Wind,2,1,2/17/2022,15609
Wind,20,19,5/11/2022,8878
Wind,8,7,5/7/2024,2974
Wind,13,12,11/22/2025,12324
Wind,22,21,4/9/2021,5279
Wind,12,11,12/24/2021,3872
Wind,13,12,3/11/2023,6406
Solar,14,13,8/13/2021,5323
Wind,16,15,2/1/2021,7166
Solar,14,13,9/11/2023,7117
Wind,14,13,7/1/2020,5874
Solar,10,9,3/10/2025,4807
Solar,16,15,6/23/2023,7976
Solar,14,13,2/9/2023,5168
Wind,1,0,5/24/2020,4384
Wind,0,23,7/26/2021,1465
Wind,7,6,9/28/2020,3962
Wind,1,0,8/25/2021,6786
Wind,15,14,12/16/2021,5553
Wind,23,22,3/11/2022,10557
Wind,18,17,4/13/2020,10961
Wind,0,23,10/4/2022,2160
Wind,2,1,6/12/2025,8382
Solar,11,10,8/18/2022,3688
Wind,19,18,10/25/2025,8209
Wind,23,22,10/24/2023,6448
Wind,19,18,10/13/2021,2194
Wind,12,11,7/19/2025,10173
Wind,6,5,6/1/2021,5221
Wind,23,22,6/30/2022,2181
Wind,6,5,1/4/2020,3143
Wind,4,3,4/23/2020,2541
Wind,10,9,9/19/2021,4133
Wind,6,5,2/1/2021,5020
Wind,9,8,7/8/2022,3748
